timestamp,position,fuel,prev_mw,curr_mw,delta_mw,limit_mw,excess_mw,nd_input_jump_mw
2026-02-17 14:00:00+10:00,seam,coal_brown,1478.0,3923.2,2445.2,268.4,2176.2,688.1
2026-02-16 14:00:00+10:00,seam,coal_brown,2027.9,3753.3,1725.3,268.4,1456.3,354.3
2026-01-07 14:00:00+10:00,seam,coal_brown,2144.9,3843.9,1699.0,268.4,1430.0,743.9
2026-03-25 14:00:00+10:00,seam,coal_brown,2399.2,3878.3,1479.1,268.4,1210.1,594.1
2026-01-25 14:00:00+10:00,seam,coal_brown,1463.9,2860.8,1396.8,268.4,1127.8,441.2
2026-01-28 14:00:00+10:00,seam,coal_brown,2328.3,3703.9,1375.5,268.4,1106.5,551.2
2026-06-17 14:00:00+10:00,seam,coal_brown,2930.9,4278.0,1347.2,268.4,1078.2,680.1
2026-03-24 14:00:00+10:00,seam,coal_brown,2893.5,4223.3,1329.8,268.4,1060.8,644.2
2026-02-28 14:00:00+10:00,seam,coal_brown,2324.6,3647.7,1323.0,268.4,1054.0,444.2
2026-06-10 14:00:00+10:00,seam,coal_brown,3040.8,4344.2,1303.3,268.4,1034.3,617.5
2026-01-19 14:00:00+10:00,seam,coal_brown,2024.9,3306.1,1281.2,268.4,1012.2,726.0
2026-04-02 14:00:00+10:00,seam,coal_brown,1440.5,2708.9,1268.4,268.4,999.4,342.4
2026-02-04 14:00:00+10:00,seam,coal_brown,2340.8,3602.5,1261.7,268.4,992.7,433.3
2026-02-18 14:00:00+10:00,seam,coal_brown,1348.7,2601.4,1252.7,268.4,983.7,273.8
2026-02-25 14:00:00+10:00,seam,coal_brown,1123.9,2315.7,1191.9,268.4,922.9,380.1
2026-02-07 14:00:00+10:00,seam,coal_brown,2069.2,3253.5,1184.3,268.4,915.3,350.4
2026-02-27 14:00:00+10:00,seam,coal_brown,2409.3,3568.8,1159.5,268.4,890.5,454.0
2026-01-27 14:00:00+10:00,seam,coal_brown,3214.6,4369.2,1154.6,268.4,885.6,609.9
2026-06-19 14:00:00+10:00,seam,coal_brown,2945.2,4056.2,1111.0,268.4,842.0,603.7
2026-01-31 14:00:00+10:00,seam,coal_brown,2977.5,4086.8,1109.3,268.4,840.3,695.0
2026-07-02 14:00:00+10:00,seam,coal_brown,2387.4,3489.2,1101.9,268.4,832.9,677.5
2026-01-08 14:00:00+10:00,seam,coal_brown,2813.3,3878.5,1065.1,268.4,796.1,563.1
2026-04-29 14:00:00+10:00,seam,coal_brown,2131.7,3179.8,1048.1,268.4,779.1,305.9
2026-01-20 14:00:00+10:00,seam,coal_brown,1589.0,2633.7,1044.7,268.4,775.7,366.9
2026-03-10 14:00:00+10:00,seam,coal_brown,2658.0,3672.8,1014.8,268.4,745.8,591.5
2026-06-13 14:00:00+10:00,seam,coal_brown,2741.7,3732.1,990.4,268.4,721.4,506.1
