rebound,demand_in_pct,nd_base,nd_scen,nd_pct,hydro_base,hydro_scen,hydro_pct,coal_brown_base,coal_brown_scen,coal_brown_pct,gas_steam_base,gas_steam_scen,gas_steam_pct,gas_ocgt_base,gas_ocgt_scen,gas_ocgt_pct,battery_charging_base,battery_charging_scen,battery_charging_pct,battery_discharging_base,battery_discharging_scen,battery_discharging_pct
10,9.721123572562199,2562.5266980852807,2904.2915195631194,13.337024809661703,42.412498474121094,30.88418197631836,-27.181413292209104,2876.5107421875,3190.786376953125,10.925585298757753,3.541543483734131,3.3310608863830566,-5.943244755225924,18.475379943847656,7.831234455108643,-57.612593197486795,382.7462463378906,331.97723388671875,-13.264405056072762,4.3329548835754395,3.435624837875366,-20.709425087750287
20,19.442247145124377,2562.5266980852807,3265.332952142836,27.42629977602543,42.412498474121094,44.92033386230469,5.91296310853699,2876.5107421875,3488.01806640625,21.25864907265102,3.541543483734131,3.068789482116699,-13.348812566857701,18.475379943847656,7.718723773956299,-58.22156947561638,382.7462463378906,284.45611572265625,-25.680233720297096,4.3329548835754395,6.063449382781982,39.93797640880546
30,29.163370717686576,2562.5266980852807,3623.326746708638,41.3966437663259,42.412498474121094,72.19221496582031,70.21448290736741,2876.5107421875,3766.292724609375,30.93268415000677,3.541543483734131,2.6751387119293213,-24.464044442320105,18.475379943847656,8.971545219421387,-51.44053737087593,382.7462463378906,238.98184204101562,-37.56128392437817,4.3329548835754395,12.177118301391602,181.03496640480517
40,38.88449429024875,2562.5266980852807,3970.656778803817,54.95084526419532,42.412498474121094,113.3232421875,167.19303569594382,2876.5107421875,4022.41357421875,39.83655667351429,3.541543483734131,2.2834670543670654,-35.523393547058056,18.475379943847656,10.065855979919434,-45.517461559585485,382.7462463378906,197.92037963867188,-48.28940021427497,4.3329548835754395,20.49090003967285,372.9082252239909
50,48.60561786281095,2562.5266980852807,4308.296588741623,68.12689569091246,42.412498474121094,172.05149841308594,305.66225665311106,2876.5107421875,4252.72021484375,47.84301523621928,3.541543483734131,2.0041160583496094,-43.411225428848596,18.475379943847656,11.669971466064453,-36.83501231621177,382.7462463378906,162.32992553710938,-57.58810776322974,4.3329548835754395,32.18059539794922,642.6939874203039
60,58.32674143537315,2562.5266980852807,4634.956677249244,80.87447364792268,42.412498474121094,246.78579711914062,481.8704532809411,2876.5107421875,4453.4619140625,54.82166809764026,3.541543483734131,2.345640182495117,-33.767855928683325,18.475379943847656,12.84304141998291,-30.485643818872195,382.7462463378906,132.90432739257812,-65.27612519673167,4.3329548835754395,52.42509078979492,1109.9154548901079
70,68.0478650079353,2562.5266980852807,4955.752190168913,93.393192503003,42.412498474121094,337.0411376953125,694.6740933005054,2876.5107421875,4623.61474609375,60.73691915287721,3.541543483734131,3.4716389179229736,-1.9738446282594075,18.475379943847656,13.945860862731934,-24.51651384102692,382.7462463378906,108.41397094726562,-71.67471347281166,4.3329548835754395,86.09284973144531,1886.9315985216024
80,77.7689885804975,2562.5266980852807,5267.68758256729,105.56615415961537,42.412498474121094,432.9439392089844,920.7932915651138,2876.5107421875,4767.8408203125,65.7508435614845,3.541543483734131,5.201247692108154,46.8638664468427,18.475379943847656,15.747209548950195,-14.766518486706131,382.7462463378906,88.73052978515625,-76.8174003967045,4.3329548835754395,134.68495178222656,3008.3857413970604
90,87.49011215305967,2562.5266980852807,5572.858543239914,117.47514074307801,42.412498474121094,532.9459228515625,1156.5775231957887,2876.5107421875,4887.0087890625,69.8936394496506,3.541543483734131,7.799009323120117,120.21498137577578,18.475379943847656,19.906091690063477,7.7438826728554,382.7462463378906,73.77021026611328,-80.72607870829685,4.3329548835754395,198.96836853027344,4491.978773757506
100,97.2112357256219,2562.5266980852807,5856.716309079179,128.5524015595746,42.412498474121094,616.9708862304688,1354.6912076093015,2876.5107421875,4997.57666015625,73.73745861125285,3.541543483734131,11.2520170211792,217.7150604773968,18.475379943847656,25.411710739135742,37.543643575232124,382.7462463378906,62.734615325927734,-83.60934537538344,4.3329548835754395,268.2400207519531,6090.694986664817
