lambda,R2,WAPE,net_demand_resp,coal_resp,batt_dis_resp,demand_sens,epochs
0.000000000000000000e+00,9.395106478120333060e-01,2.503414453676366946e-01,4.059353868977444435e+00,2.371377247756385920e+00,2.425349712581526163e+01,4.220250755068953585e-02,2.500000000000000000e+01
1.000000000000000000e+00,9.372524784960220012e-01,2.541425743113945868e-01,5.744471605662948122e+00,2.533796711308121452e+00,4.992190792785673636e+01,4.220250755068953585e-02,2.500000000000000000e+01
3.000000000000000000e+00,9.334346228787043787e-01,2.630150947698255970e-01,6.086243249911029274e+00,3.136539803128389092e+00,4.153607110232781707e+01,4.220250755068953585e-02,2.500000000000000000e+01
1.000000000000000000e+01,9.189948872024166215e-01,2.963625284539692095e-01,7.891715967586718783e+00,3.392957256595424909e+00,1.095122504506809094e+02,4.220250755068953585e-02,2.500000000000000000e+01
3.000000000000000000e+01,8.902847002341637284e-01,3.544174599853220364e-01,1.080455421572184171e+01,3.540282706889168463e+00,1.931117914952202455e+02,4.220250755068953585e-02,2.500000000000000000e+01
1.000000000000000000e+02,8.241075825887183015e-01,4.655109955006197509e-01,1.165539299851341681e+01,3.804669768584998835e+00,2.261513259802598270e+02,4.220250755068953585e-02,2.500000000000000000e+01
